stock
AUDCAD
AUDCHF
AUDJPY
AUDNZD
AUDUSD
CADCHF
CADJPY
CHFJPY
EURAUD
EURCAD
EURCHF
EURGBP
EURJPY
EURNZD
EURUSD
GBPAUD
GBPCAD
GBPCHF
GBPJPY
GBPNZD
GBPUSD
NZDCAD
NZDCHF
NZDJPY
NZDUSD
USDCAD
USDCHF
USDJPY
USOUSD
XAUUSD
AUDCHN
AUDSGD
CHFSGD
EURNOK
EURPLN
EURSEK
EURSGD
GBPSGD
NZDSGD
SGDJPY
USDCNH
USDHKD
USDMXN
USDNOK
USDPLN
USDSEK
USDSGD
USDZAR
CHINA50
DAX30
DJ30
ES35
EU50
FRA40
FTSE100
HSI
NAS100
SP500
SP1200
TW50
US2000
USDX
VIX
Nikkei225
XAGAUD
XAGUSD
XAUAUD
XAUUSD
CL-OIL
UKOUSD
USOUSD
Gold
BCHUSD
BTCUSD
DSHUSD
ETHUSD
LTCUSD
XRPUSD
